x,y_obs,sigma_obs
-9.939640867608073,-14.50457893066322,1.477613888077093
-9.792714773295362,-16.928390728348774,1.4798884495566786
-9.633347141739854,-14.577232345241308,1.5012186585810003
-9.553391440163876,-10.873681858986853,1.4646873895937484
-9.475628654072533,-8.274606941467718,1.4332409578734446
-9.447879760909927,-18.415309325961406,1.5604341722280815
-9.444333023026601,-14.39893599262248,1.517415941297144
-9.392006201424223,-11.85231890879025,1.4038817875827272
-9.35353866752852,-18.94999817792601,1.5561302722309942
-9.308575602567315,-13.143982557477923,1.5083306052065222
-9.258779040919283,-13.062833108081637,1.482595565559918
-8.8614112317781,-8.231977442941421,1.3699412694887274
-8.66550004721287,-9.148492632420119,1.4214586889877179
-8.635813031665919,-6.5586253144202455,1.4722272531200815
-8.43226200290104,-10.74368349636574,1.4916662068557633
-8.407478446034952,-11.00721609290682,1.4408356050950897
-8.37052070245476,-13.731039104152075,1.5370625727046896
-8.025131963593033,-10.334580067370126,1.484437030017275
-7.960654811484051,-19.947968576151027,1.561959881498951
-7.819624719618634,-13.787304650922142,1.5054474789538894
-7.782173985119416,-7.34075787338507,1.5432042176795193
-7.7331615446481905,-13.506825837867707,1.4302081220644816
-7.6108589933254205,-12.072383020652783,1.542162349620694
-7.487172377245224,-12.46390235458599,1.4841580030240475
-7.291441938556602,-10.996136517596613,1.5118567703141068
-7.139883434838012,-7.53070379108631,1.5030517799783973
-7.131539026595101,-13.340041422645687,1.4904488679272776
-7.109089197506804,-12.058036650953836,1.5792140571215998
-7.088835376832058,-18.651495092639713,1.492268708150788
-7.064152531655137,-13.460961508830168,1.5567666170962489
-6.946567118136735,-11.32570249408179,1.5359050874292606
-6.845398602589334,-16.13309204768751,1.4567846555401347
-6.7920964096070175,-6.27399861993317,1.4813647045797464
-6.780571263687825,-14.529390999351826,1.486571511334687
-6.531396584257543,-5.1741592618079,1.386079316156862
-6.367742973384725,-5.710289941629827,1.499113478075677
-6.247366541951321,-9.549451404658802,1.5393932767633318
-6.227263980893783,-10.262323070501552,1.4081401612133797
-6.140745359617743,-9.356656169645143,1.5210119223969079
-6.028602231457782,-4.81554409474219,1.4774307957190544
-5.921875495337563,-10.497829264516533,1.528623037655578
-5.83611123182417,-7.902600045815709,1.4755460094310986
-5.760796707126481,-2.9049246105875968,1.6139355527204235
-5.571345313530234,-10.206759142723511,1.5608220309904108
-5.559017204001546,-7.051594772203847,1.6529902784573214
-5.499200843718308,-2.2442280914405126,1.6184718220719423
-5.326677215214999,-5.469415672546227,1.519991112767798
-5.045341964752903,-4.128396335819785,1.4982768130886954
-5.039328832455386,-15.255158547962665,1.4853774036637655
-5.002986395499265,-6.55388186673061,1.5461334857270148
-4.952665969908205,-2.68364427915516,1.4229566575950956
-4.858614023557067,-0.1185020029783459,1.5790638735538345
-4.8576341243560766,-3.9940660608370626,1.5084111266737141
-4.806032134032938,-7.078757621473667,1.5085274889694005
-4.756538324541761,-9.734915410849926,1.4457386866581587
-4.714050345461986,-4.011415398049543,1.5731109466295081
-4.658559606312684,-6.433600828621145,1.5525288147905505
-4.595834759404845,-2.4582131998399013,1.5407970649601075
-4.053372369854555,-0.1797778318300578,1.416051237736537
-3.995033209321999,-7.114182900529194,1.4759302427100247
-3.754603245961661,-3.181459407716753,1.4554103047401452
-3.6523210808344615,-13.842694148766888,1.446715516937343
-3.5463800632650706,0.4678371654779885,1.4571770510444948
-3.51275080547627,0.1801261551622404,1.5112025948613481
-3.150917603129604,-1.5647495628287031,1.3295613565125002
-3.1462218409343645,-7.697770295123314,1.4515837473792284
-3.13307520451154,4.778876256848482,1.5793638609634806
-3.0965589768957003,-0.8021946912839844,1.4476989194374414
-3.094050768178369,2.075353103893459,1.512960949223876
-2.8858965803223775,-0.048326225873383866,1.5518389515767392
-2.6691380551251136,-1.7915818161254058,1.5220611574429603
-2.441516413438003,-2.6843139002295846,1.4518979109916281
-2.3796775187557166,-2.3253183875935317,1.4138959305033127
-2.3579449593696555,-1.6219527627322248,1.5605785340527274
-2.1029903907872116,3.4878176295781698,1.5346647926784573
-1.9825253525775821,-5.633853544477982,1.5777739688992354
-1.9704083306091889,2.0461480085290367,1.6221368234951536
-1.9521496028452834,-2.9945534013310193,1.5631040824154099
-1.7837730015562876,3.1598259690347366,1.3388922912183803
-1.6830256346494537,-2.3463405555396224,1.5587288389712153
-1.4659798130393433,-0.5003875860064853,1.4731161951732108
-1.427623426724269,1.866280867503676,1.5096390846998171
-1.4246245000111486,-3.3548322943427396,1.653088575288198
-1.3950545835747121,2.442471561713871,1.4825440737165814
-1.1619143850315332,-5.755142929263156,1.4972913143513764
-1.0770753599308556,-0.8923748979161115,1.4552888714782044
-0.998265059984778,-0.30236453562635823,1.5149473730934808
-0.9825212717330167,3.3670092566295757,1.424892196449068
-0.9519034650709699,7.106288977438633,1.569043463147487
-0.8604934512861444,4.885690115721512,1.6376971224478314
-0.828323725831364,7.817301371876795,1.463803387945584
-0.6999703687298791,-3.9383869180247304,1.4869401159664857
-0.6858024281603825,0.5908380305152692,1.537124882671673
-0.6623995447338729,2.9642125619192954,1.4378659725140615
-0.5199214687561202,8.255535298147864,1.3672547353976234
-0.4571802590043532,9.286237428086014,1.5877007708663302
-0.43854986564338105,5.587025994684764,1.6533489810278814
-0.008316586422278505,11.793900910604833,1.4753425107454536
0.17032481220479134,6.617401816479247,1.5865314821316974
0.22282956594256476,-1.6026474201765373,1.5554964806143543
0.3171403393705958,3.7678539949800816,1.4471921441302342
0.38023254928111605,4.319198747015534,1.4913976842136947
0.3870364873206604,3.156013553793452,1.4022452565158303
0.5285186781104265,4.795089146028222,1.423356170798127
0.5542929261749325,-0.789895312361347,1.5631113504414957
0.7688118518908738,5.351021294134729,1.3584459148923198
0.77254565152694,-1.2970532174419658,1.5476048887914673
0.8190360992437729,2.4968219331870953,1.4563528489224147
0.8311875777474658,3.3895014810151407,1.5488622423850553
0.8802023762787634,13.612122787949207,1.5341962702576248
0.9214160828590323,8.170063032536234,1.5415504966265947
1.3771598140943109,3.204940746455866,1.4812478344261788
1.3898882549075147,14.860535324479201,1.5519430912404135
1.4497703438321263,9.26838139906442,1.5630599164485088
1.631548146885823,1.9836519840985538,1.3868959351707693
1.8502373753159347,6.089690401679121,1.503556542834322
1.8686489892924207,7.3366809271342275,1.4873355788545295
2.204816252932593,13.566074666953252,1.5287036153045779
2.3337013431047247,12.945570017025666,1.565177145691249
2.370271338241709,11.370907346097626,1.5932019978811314
2.4361246348083103,6.022578284301016,1.47913350154281
2.438387358406029,11.108218264361348,1.522332736723997
2.449918045998423,13.587756202541605,1.5168515964566414
2.5299231724858746,6.175301388296303,1.492989133670155
2.646066348602556,7.247438373630041,1.5839242515931056
2.675735212238358,9.69453392898802,1.5432866183398968
2.732088000037944,5.621066555893007,1.5857155393363849
3.02608664681982,3.648749546223537,1.4859469351749002
3.0827469394148856,10.368760204715388,1.4947099800885262
3.2543962475052446,3.820381234589582,1.5029549622700915
3.4157758157517453,3.459603313990111,1.4630279773415582
3.5560178286862225,9.352905655020871,1.3557901503351641
3.7682650477188666,11.400182007924471,1.616186152397691
3.81884284132337,10.038340297627272,1.5245382185064875
3.8535543501470855,18.77093763793934,1.439833884141761
3.936009922403569,14.00009061603889,1.547778598480514
4.07033976305306,7.716893191050736,1.5130592973691799
4.187745024625901,12.307997932426295,1.5032597108896901
4.222449175316319,11.762682750531384,1.581223699899564
4.571713359491925,19.79206010459314,1.4200237261384503
4.634572014790539,17.09088454019911,1.5264294650424644
4.636008182845906,7.504868737833585,1.5258644901463008
4.662850505750223,12.627803766968855,1.4521390498577966
4.912743854149921,11.888883061843892,1.5022830182685352
4.9387699121505015,16.589326569225154,1.487770778818025
4.997166214522867,15.722226691403577,1.538537624718335
5.003448265959856,11.057447109872538,1.5891629151111144
5.030556342704877,15.409619087799037,1.606387177149554
5.097229627809348,20.88360529897293,1.4792351193340396
5.3242276215154085,21.08389271574861,1.4782918258537359
5.404774691099599,11.582839692463859,1.4530536399597678
5.41767821003776,14.17167190241911,1.4344961396018652
5.477486854408372,13.854156318609363,1.5030568295224873
5.654988295683438,19.50777037689236,1.5296446047844878
5.705920564432379,19.966768546923483,1.3989120336199288
5.919338838845388,9.854585117550464,1.5352229369404728
5.93177356014575,18.42464393560846,1.473730053493692
5.952776079171331,18.03791507129684,1.423007611288018
5.972084895204205,22.451064205194054,1.5236608187602132
5.992305234720561,14.721303218871908,1.513880980408874
6.0432216800919605,14.374642043889823,1.5351746037231309
6.0592647474747565,13.825521016294395,1.5162746191425116
6.063266842283394,22.270239900783448,1.4547158318221565
6.0792178299729365,7.708848574347382,1.41989610272638
6.237173954410796,9.397992496669351,1.4217882755955304
6.252211760656575,22.119805751762115,1.529419754255294
6.480197408246376,19.60916642872235,1.5308955110498008
6.528139952586827,20.1414225916226,1.5161066314755067
6.876808578623777,20.142961786569355,1.457725556054472
6.894192152041391,22.165694756397137,1.5220944463069124
6.917029660553553,18.48586695664981,1.572717722130159
7.033437498727338,11.269019334561689,1.541063623382754
7.0823088767307745,25.017968575296663,1.5533407826218417
7.097958853948047,18.331706064888383,1.580130659688773
7.246925056760883,17.731367542424785,1.5592312453309523
7.289588601091996,16.430540096156527,1.613704175456427
7.332165483330261,20.43733937913764,1.478565719116014
7.458447528002221,18.5225838106164,1.5613318244781358
7.499232899117963,22.51004190592094,1.5164090988471965
7.599965771268636,27.330408376900536,1.4879300254714696
8.026168726985475,17.681665729466236,1.456599940923631
8.076839116527438,17.181137682280838,1.438549910745504
8.093723206872461,19.21069523726342,1.676982799476448
8.108040674055562,17.424130631020855,1.5219483404324403
8.116189920166036,25.22978333192698,1.5196465553985847
8.18586409088509,24.27736465607814,1.6333261095838687
8.192710499031143,17.174194356425378,1.647017859553519
8.305486398295749,24.50855948844803,1.5905258117772583
8.326111069367016,12.48263076394198,1.5133640839267226
8.950978827901995,22.11930799301866,1.4928777889229599
8.99611982707253,25.95238481634916,1.5579582249825072
9.023875709804091,20.44584938425112,1.4109208871327803
9.188686421235047,24.39895635981404,1.536440343595136
9.476041558545045,23.036240890490852,1.6023475555931481
9.494807417101644,21.684282503165512,1.46870100046498
9.6563422746089,19.44012158059351,1.4530127708414227
9.795034153274106,25.322148931510508,1.5784992395764965
9.799103567181472,19.202489418070126,1.4948821107376906
9.809435672476813,20.183623735470327,1.5054138047843992
9.878260492209577,27.747459980139865,1.528244414925356
